"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0050355"	650.679529156298	-1.43024017045756	0.253548850364687	-5.64088603991066	1.69177310075013e-08	4.97452584553339e-08	"CG30355"	"A1Z7H5"	"BcDNA:AT24812"
"FBgn0050356"	336.649798592573	-0.952637800339486	0.316040475850696	-3.01429048850544	0.00257581048195542	0.00449388059511722	"CG30356"	"A1Z7I6"	"Dmel\CG30356"
"FBgn0050369"	493.849876094306	-1.59219681173813	0.206892836757187	-7.69575610588566	1.40659888494192e-14	6.20323903453682e-14	"CG30369"	"Q4QPU5"	"Dmel\CG30369"
"FBgn0050373"	191.803621436033	-2.5012594640291	0.177803629480738	-14.0675388423388	6.01257127582872e-45	8.13808560310328e-44	"CG30373"	"A1Z7B8"	"BcDNA:RH67738"
"FBgn0050390"	67.5519680270552	-1.0211816449514	0.233629151584198	-4.37095130477917	1.23706381891059e-05	2.81838840784264e-05	"Sgf29"	"Q9W2I4"	"CG10509"
"FBgn0050403"	8.25259970458391	-5.31810426981426	1.17458951171296	-4.52762792173973	5.9649491834294e-06	1.39807814741344e-05	"CG30403"	"Q8MLV3"	"BcDNA:RE26725"
"FBgn0050410"	1326.14341689471	-1.86018969493516	0.204798119245812	-9.0830409077265	1.05582915411194e-19	6.06090863360428e-19	"Rpi"	"Q8MLS2"	"CG30410"
"FBgn0050423"	619.163445600935	-3.53506819069937	0.268462659193687	-13.1678208109715	1.34421791636274e-39	1.5513450306616e-38	"CG30423"	"Q8MMD0"	"BcDNA:RH04491"
"FBgn0050424"	56.4289692549095	-1.20169553405566	0.231347535603179	-5.19433038663046	2.05457990236742e-07	5.50654626813308e-07	"CG30424"	"Q5BIH6"	"Dmel\CG30424"
"FBgn0050428"	74.6895579378441	-1.25823342330912	0.231908703252512	-5.4255549949719	5.77747372432784e-08	1.62295947448089e-07	"CG30428"	"A0A0B4LGM2"	"BcDNA:SD21514"
"FBgn0050430"	2865.29071799629	-2.20122169962242	0.260279995308189	-8.45712978062731	2.74038878518075e-17	1.40919357225242e-16	"CG30430"	"Q8MLN5"	"Dmel\CG30430"
"FBgn0050441"	2.42146412621665	-4.28934103298721	1.23463318123898	-3.47418253305226	0.000512412323933739	0.000970545713709754	"CG30441"	"A1Z6F0"	"Dmel\CG30441"
"FBgn0050443"	48.3649373673415	-1.13100718388861	0.268772360082655	-4.20804871282447	2.57585346075092e-05	5.65421024534025e-05	"Opbp"	"Q4V6Y6"	"BcDNA:RE37461"
"FBgn0050467"	119.125058550515	-0.768429211059267	0.239725199660822	-3.20545863407972	0.00134847427673471	0.00243230221272265	"CG30467"	"Q7K4H1"	"CG8185"
"FBgn0050472"	233.773140201738	-0.968631055451035	0.244824082837363	-3.95643698211869	7.60759449630401e-05	0.000158510047673978	"CG30472"	"A1ZA08"	"Dmel\CG30472"
"FBgn0050476"	180.912786865095	-1.54109900134053	0.17921656288124	-8.59908803385409	8.03520345911982e-18	4.2563440312903e-17	"ave"	"A0A1B2AIY1"	"BcDNA:RE67675"
"FBgn0050493"	145.852244153084	-1.3144387722243	0.15654245447278	-8.39669198142579	4.59232621514329e-17	2.32993867856476e-16	"CG30493"	"B5RJR6"	"CG1952"
"FBgn0050499"	653.598604026952	-1.2686249643052	0.136454468523157	-9.29705694533491	1.44386897330531e-20	8.60579931512017e-20	"CG30499"	"Q95RV5"	"CG1364"
"FBgn0051005"	115.037699161956	-0.560324623492541	0.193613086657267	-2.89404313089861	0.00380315917328854	0.00651533166684015	"qless"	"Q9V9Z3"	"CG15565"
"FBgn0051008"	485.433030681847	-1.37550037069045	0.176853035322107	-7.77764638410204	7.38862519364619e-15	3.30406255897084e-14	"CG31008"	"Q8IMH2"	"BEST:GH26101"
"FBgn0051032"	49.7213069101175	-3.27280125877079	0.356483551511305	-9.18079177817831	4.27933175985582e-20	2.49425669209839e-19	NA	NA	NA
"FBgn0051036"	13.7853074827361	-1.64663713484057	0.545829899291329	-3.01675876858058	0.00255493045256901	0.00446065726555081	"CG31036"	"B7Z0R9"	"CG15516"
"FBgn0051044"	285.043973296877	-7.41376996853936	0.641528363938462	-11.5564180561321	6.85072091258581e-31	6.00972562136592e-30	NA	NA	NA
