"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0028893"	649.965978621013	3.72026221460379	0.393374200334391	9.45731115930163	3.15963416008628e-21	1.99002070102506e-20	"CG31819"	"Q8T908"	"BG:DS02795.3"
"FBgn0028895"	50.0952715632779	0.661911858514836	0.208668567267454	3.17207266615509	0.00151355129882241	0.00284907735588182	"CG17328"	"M9PD13"	"BG:DS02740.8"
"FBgn0028897"	184.890315937043	0.687561820601798	0.200397016520476	3.43099828799869	0.000601364396009073	0.00119379251521213	"CG4935"	"Q9VJL9"	"BG:DS02740.2"
"FBgn0028899"	336.957260594393	2.43795005069927	0.175812187795607	13.8667863773673	1.00687786341001e-43	1.32692491843577e-42	"CG31817"	"Q7KT60"	"BG:DS02740.18"
"FBgn0028901"	817.673220973239	2.8567745418333	0.207994683069883	13.7348440819204	6.27910996200659e-43	8.02499340662897e-42	"CG18109"	"Q4LDP4"	"BG:DS02252.3"
"FBgn0028902"	1025.68846139916	2.839509916073	0.378173645309741	7.50848175511363	5.98170212789614e-14	2.64415819244618e-13	"Tektin-A"	"Q9V3M9"	"BG:DS02252.2"
"FBgn0028903"	777.940937961391	1.4840528378105	0.229034734138902	6.47959726890367	9.19677630597742e-11	3.30547403282808e-10	"CG13243"	"Q9V3B1"	"BG:DS02252.1"
"FBgn0028916"	122.664546958085	2.78873980100227	0.171494239526682	16.2614196762474	1.85391981573083e-59	3.65911296756455e-58	"CG33090"	"X2JE45"	"BG:DS01068.2"
"FBgn0028931"	26.0145397815085	1.40503004372847	0.382188358901109	3.67627639881104	0.000236663102608536	0.000492375645115562	"CG16863"	"Q0E8Q6"	"BG:DS00797.6"
"FBgn0028935"	256.95199445062	3.32350550166821	0.314959218706624	10.5521772479502	4.96334016323279e-26	3.72720414269748e-25	"CG7653"	"Q9VJN2"	"BG:DS00365.1"
"FBgn0028952"	227.274132186473	0.994104963507952	0.173612529213863	5.72599781829902	1.02827542116552e-08	3.1898908262067e-08	"Kebab"	"F0JAI6"	"BEST:LD15963"
"FBgn0028968"	308.789396629783	1.2388313930078	0.142276723915486	8.7071965035102	3.11482834665179e-18	1.72621338634751e-17	"gammaCOP"	"Q8I0G5"	"0573/02"
"FBgn0028974"	132.003395751934	3.84781936516873	0.28996401233483	13.2699893831154	3.456297143996e-40	4.06146917170864e-39	"xmas-2"	"Q9U3V9"	"CG32562"
"FBgn0028978"	124.932868044346	1.90679450750143	0.309697781376409	6.15695242964589	7.41581118905806e-10	2.51574605186677e-09	"trbl"	"Q9V3Z1"	"CG5408"
"FBgn0028979"	234.090338939494	4.66647680257834	0.233068575400945	20.0219046885693	3.54891588349027e-89	1.3404551034933e-87	"tio"	"M9PDE2"	"CG12630"
"FBgn0028996"	7.35913619277731	2.03133877793335	0.607206753906544	3.34538238394824	0.000821692009303983	0.00160456890138127	"onecut"	"L0MPQ0"	"A1"
"FBgn0029006"	830.534591143354	3.09124681354069	0.200598722756798	15.4101021734244	1.39990335265996e-53	2.39759425757187e-52	"Smurf"	"A0A0B4KFU5"	"CG4943"
"FBgn0029082"	10.4526424953135	2.04517098282774	0.601255447713436	3.40150096037465	0.0006701689309636	0.00132251810027353	"hbs"	"A1Z9X4"	"CG7449"
"FBgn0029088"	74.5757500038741	1.00556972272887	0.269097275309098	3.73682610340005	0.000186357711383028	0.000392151503094346	"disp"	"Q9VNJ5"	"CG2019"
"FBgn0029105"	8.78971023227801	3.01230281630082	0.643168531188216	4.68353576120363	2.81968232798584e-06	7.11989423487231e-06	"alpha-catenin-related"	"Q9W1F1"	"CG2987"
"FBgn0029137"	5.8813155790547	2.12015960472566	0.704318391231873	3.01022894066055	0.00261050838746601	0.00475868456554597	"Patsas"	"Q9VKB1"	"CG6618"
"FBgn0029147"	12.9158627010405	3.12489144526263	0.530522018756252	5.89022007529221	3.85681650811391e-09	1.23884733749617e-08	"NtR"	"A0A0B4K8A6"	"CG6698"
"FBgn0029152"	566.819161926204	0.787818328977821	0.0980191810221974	8.03738942482504	9.177264961659e-16	4.48473891522581e-15	"Mkrn1"	"Q9VP20"	"CG7184"
"FBgn0029155"	857.8897295989	1.6754897614107	0.0803060286941869	20.8638104592512	1.14200307825015e-96	5.04988190455493e-95	"Men-b"	"E1JIZ5"	"CG5889"
"FBgn0029157"	1574.4981904766	4.46086626606909	0.148334885263995	30.0729410895488	1.0946511022962e-198	2.89421190400855e-196	"ssh"	"E1JIW2"	"CG6238"
"FBgn0029158"	435.399164561644	0.856141820477837	0.231882119765897	3.69214246161876	0.000222372835952955	0.000463937803892643	"Las"	"Q7JQW6"	"CG5231"
"FBgn0029167"	28.7970231378153	2.95371819830884	0.350331482220758	8.4312097205343	3.42110007131016e-17	1.79261688707668e-16	"Hml"	"M9PCE5"	"CG7002"
"FBgn0029501"	1451.69769865026	2.51485096054481	0.507237077203493	4.9579399329594	7.12445814324945e-07	1.90671653935004e-06	"Crtp"	"Q9W164"	"CG13580"
"FBgn0029525"	91.0602984147324	1.72440160668373	0.278874440617893	6.18343367310045	6.27220939060509e-10	2.13865151467408e-09	"CG18273"	"Q9I7Z8"	"CG13372"
"FBgn0029539"	611.117923633675	0.842453471013784	0.0958143493357348	8.79256058048065	1.46189317565229e-18	8.21287573802711e-18	"CG11663"	"Q9W5C5"	"BcDNA:AT05678"
"FBgn0029603"	340.993791210759	1.25704798863449	0.41261591546163	3.04653296571974	0.00231497092740088	0.00425355379175396	"CG14053"	"Q9W510"	"BcDNA:AT10359"
"FBgn0029656"	323.573301030647	1.83724040714919	0.455954994401542	4.02943367154171	5.59113885643498e-05	0.000124529910893324	"CG10793"	"Q9V3N5"	"Dmel\CG10793"
"FBgn0029659"	1529.1827862519	1.27088351899683	0.243434986957061	5.22062804070557	1.78317369807881e-07	5.01890827285833e-07	"CG16782"	"Q9W4S4"	"Dmel\CG16782"
"FBgn0029660"	147.878186392253	2.2956114111312	0.333170494928613	6.89020020102043	5.57139237999927e-12	2.16824718474611e-11	"CG10801"	"M9PIY5"	"Dmel\CG10801"
"FBgn0029661"	492.490845287529	1.59726952474675	0.330237847914305	4.83672460571882	1.31996105122395e-06	3.44541869623265e-06	"CG16781"	"M9PDP1"	"Dmel\CG16781"
"FBgn0029662"	133.906682053113	2.59187879506867	0.235382148381316	11.0113651901497	3.36860171233613e-28	2.72646201092206e-27	"CG12206"	"Q9W4S1"	"Dmel\CG12206"
"FBgn0029667"	271.432026938591	2.76984863319963	0.178846662622024	15.4872816332807	4.22792675582411e-54	7.34016668374334e-53	"Gas8"	"Q8MT08"	"CG14271"
"FBgn0029679"	223.236937528712	3.12414004885805	0.371500909020484	8.4095084910971	4.11732422598375e-17	2.15209891894398e-16	"CG2901"	"Q9W4P9"	"Dmel\CG2901"
"FBgn0029688"	321.009982465467	2.31365084017774	0.446202166872529	5.18520754032713	2.1577444363657e-07	6.02374277208911e-07	"lva"	"Q8MSS1"	"ABP2"
