gsm	title	source name	organism
GSM2647332	w1118_RE_f_r1	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647333	w1118_RE_f_r2	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647334	w1118_RE_f_r3	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647335	w1118_RE_m_r1	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647336	w1118_RE_m_r2	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647337	w1118_RE_m_r3	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2647338	w1118_TX_f_r1	thorax without digestive system	Drosophila melanogaster
GSM2647339	w1118_TX_f_r2	thorax without digestive system	Drosophila melanogaster
GSM2647340	w1118_TX_f_r3	thorax without digestive system	Drosophila melanogaster
GSM2647341	w1118_TX_m_r1	thorax without digestive system	Drosophila melanogaster
GSM2647342	w1118_TX_m_r2	thorax without digestive system	Drosophila melanogaster
GSM2647343	w1118_TX_m_r3	thorax without digestive system	Drosophila melanogaster
GSM2647344	w1118_WB_f_r1	whole body	Drosophila melanogaster
GSM2647345	w1118_WB_f_r2	whole body	Drosophila melanogaster
GSM2647346	w1118_WB_f_r3	whole body	Drosophila melanogaster
GSM2647347	w1118_WB_m_r1	whole body	Drosophila melanogaster
GSM2647348	w1118_WB_m_r2	whole body	Drosophila melanogaster
GSM2647349	w1118_WB_m_r3	whole body	Drosophila melanogaster
GSM2817213	dana_AC_f_r4	abdomen without digestive or reproductive system	Drosophila ananassae 
GSM2817214	dana_AC_m_r4	abdomen without digestive or reproductive system	Drosophila ananassae 
GSM2817215	dana_DG_f_r4	digestive plus excretory system	Drosophila ananassae 
GSM2817216	dana_DG_m_r4	digestive plus excretory system	Drosophila ananassae 
GSM2817217	dana_GO_f_r4	gonad	Drosophila ananassae 
GSM2817218	dana_GO_m_r4	gonad	Drosophila ananassae 
GSM2817219	dana_HD_f_r4	head	Drosophila ananassae 
GSM2817220	dana_HD_m_r4	head	Drosophila ananassae 
GSM2817221	dana_RE_f_r4	reproductive system without gonad	Drosophila ananassae 
GSM2817222	dana_RE_m_r4	reproductive system without gonad	Drosophila ananassae 
GSM2817223	dana_TX_f_r4	thorax without digestive system	Drosophila ananassae 
GSM2817224	dana_TX_m_r4	thorax without digestive system	Drosophila ananassae 
GSM2817225	dana_WB_f_r4	whole body	Drosophila ananassae 
GSM2817226	dana_WB_m_r4	whole body	Drosophila ananassae 
GSM2817227	dmoj_AC_f_r4	abdomen without digestive or reproductive system	Drosophila mojavensis 
GSM2817228	dmoj_AC_m_r4	abdomen without digestive or reproductive system	Drosophila mojavensis 
GSM2817229	dmoj_DG_f_r4	digestive plus excretory system	Drosophila mojavensis 
GSM2817230	dmoj_DG_m_r4	digestive plus excretory system	Drosophila mojavensis 
GSM2817231	dmoj_GO_f_r4	gonad	Drosophila mojavensis 
GSM2817232	dmoj_GO_m_r4	gonad	Drosophila mojavensis 
GSM2817233	dmoj_HD_f_r4	head	Drosophila mojavensis 
GSM2817234	dmoj_HD_m_r4	head	Drosophila mojavensis 
GSM2817235	dmoj_RE_f_r4	reproductive system without gonad	Drosophila mojavensis 
GSM2817236	dmoj_RE_m_r4	reproductive system without gonad	Drosophila mojavensis 
GSM2817237	dmoj_TX_f_r4	thorax without digestive system	Drosophila mojavensis 
GSM2817238	dmoj_TX_m_r4	thorax without digestive system	Drosophila mojavensis 
GSM2817239	dmoj_WB_f_r4	whole body	Drosophila mojavensis 
GSM2817240	dmoj_WB_m_r4	whole body	Drosophila mojavensis 
GSM2817241	dper_AC_f_r4	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2817242	dper_AC_m_r4	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2817243	dper_DG_f_r4	digestive plus excretory system	Drosophila persimilis
GSM2817244	dper_DG_m_r4	digestive plus excretory system	Drosophila persimilis
GSM2817245	dper_GO_f_r4	gonad	Drosophila persimilis
GSM2817246	dper_GO_m_r4	gonad	Drosophila persimilis
GSM2817247	dper_HD_f_r4	head	Drosophila persimilis
GSM2817248	dper_HD_m_r4	head	Drosophila persimilis
GSM2817249	dper_RE_f_r4	reproductive system without gonad	Drosophila persimilis
GSM2817250	dper_RE_m_r4	reproductive system without gonad	Drosophila persimilis
GSM2817251	dper_TX_f_r4	thorax without digestive system	Drosophila persimilis
GSM2817252	dper_TX_m_r4	thorax without digestive system	Drosophila persimilis
GSM2817253	dper_WB_f_r4	whole body	Drosophila persimilis
GSM2817254	dper_WB_m_r4	whole body	Drosophila persimilis
GSM2817255	dpse_AC_f_r4	abdomen without digestive or reproductive system	Drosophila pseudoobscura
GSM2817256	dpse_AC_m_r4	abdomen without digestive or reproductive system	Drosophila pseudoobscura
GSM2817257	dpse_DG_f_r4	digestive plus excretory system	Drosophila pseudoobscura
GSM2817258	dpse_DG_m_r4	digestive plus excretory system	Drosophila pseudoobscura
GSM2817259	dpse_GO_f_r4	gonad	Drosophila pseudoobscura
GSM2817260	dpse_GO_m_r4	gonad	Drosophila pseudoobscura
GSM2817261	dpse_HD_f_r4	head	Drosophila pseudoobscura
GSM2817262	dpse_HD_m_r4	head	Drosophila pseudoobscura
GSM2817263	dpse_RE_f_r4	reproductive system without gonad	Drosophila pseudoobscura
GSM2817264	dpse_RE_m_r4	reproductive system without gonad	Drosophila pseudoobscura
GSM2817265	dpse_TX_f_r4	thorax without digestive system	Drosophila pseudoobscura
GSM2817266	dpse_TX_m_r4	thorax without digestive system	Drosophila pseudoobscura
GSM2817267	dpse_WB_f_r4	whole body	Drosophila pseudoobscura
GSM2817268	dpse_WB_m_r4	whole body	Drosophila pseudoobscura
GSM2817269	dvir_AC_f_r4	abdomen without digestive or reproductive system	Drosophila virilis
GSM2817270	dvir_AC_m_r4	abdomen without digestive or reproductive system	Drosophila virilis
GSM2817271	dvir_DG_f_r4	digestive plus excretory system	Drosophila virilis
GSM2817272	dvir_DG_m_r4	digestive plus excretory system	Drosophila virilis
GSM2817273	dvir_GO_f_r4	gonad	Drosophila virilis
GSM2817274	dvir_GO_m_r4	gonad	Drosophila virilis
GSM2817275	dvir_HD_f_r4	head	Drosophila virilis
GSM2817276	dvir_HD_m_r4	head	Drosophila virilis
GSM2817277	dvir_RE_f_r4	reproductive system without gonad	Drosophila virilis
GSM2817278	dvir_RE_m_r4	reproductive system without gonad	Drosophila virilis
GSM2817279	dvir_TX_f_r4	thorax without digestive system	Drosophila virilis
GSM2817280	dvir_TX_m_r4	thorax without digestive system	Drosophila virilis
GSM2817281	dvir_WB_f_r4	whole body	Drosophila virilis
GSM2817282	dvir_WB_m_r4	whole body	Drosophila virilis
GSM2817283	dwil_AC_f_r4	abdomen without digestive or reproductive system	Drosophila willistoni
GSM2817284	dwil_AC_m_r4	abdomen without digestive or reproductive system	Drosophila willistoni
GSM2817285	dwil_DG_f_r4	digestive plus excretory system	Drosophila willistoni
GSM2817286	dwil_DG_m_r4	digestive plus excretory system	Drosophila willistoni
GSM2817287	dwil_GO_f_r4	gonad	Drosophila willistoni
GSM2817288	dwil_GO_m_r4	gonad	Drosophila willistoni
GSM2817289	dwil_HD_f_r4	head	Drosophila willistoni
GSM2817290	dwil_HD_m_r4	head	Drosophila willistoni
GSM2817291	dwil_RE_f_r4	reproductive system without gonad	Drosophila willistoni
GSM2817292	dwil_RE_m_r4	reproductive system without gonad	Drosophila willistoni
GSM2817293	dwil_TX_f_r4	thorax without digestive system	Drosophila willistoni
GSM2817294	dwil_TX_m_r4	thorax without digestive system	Drosophila willistoni
GSM2817295	dwil_WB_f_r4	whole body	Drosophila willistoni
GSM2817296	dwil_WB_m_r4	whole body	Drosophila willistoni
GSM2817297	dyak_AC_f_r4	abdomen without digestive or reproductive system	Drosophila yakuba
GSM2817298	dyak_AC_m_r4	abdomen without digestive or reproductive system	Drosophila yakuba
GSM2817299	dyak_DG_f_r4	digestive plus excretory system	Drosophila yakuba
GSM2817300	dyak_DG_m_r4	digestive plus excretory system	Drosophila yakuba
GSM2817301	dyak_GO_f_r4	gonad	Drosophila yakuba
GSM2817302	dyak_GO_m_r4	gonad	Drosophila yakuba
GSM2817303	dyak_HD_f_r4	head	Drosophila yakuba
GSM2817304	dyak_HD_m_r4	head	Drosophila yakuba
GSM2817305	dyak_RE_f_r4	reproductive system without gonad	Drosophila yakuba
GSM2817306	dyak_RE_m_r4	reproductive system without gonad	Drosophila yakuba
GSM2817307	dyak_TX_f_r4	thorax without digestive system	Drosophila yakuba
GSM2817308	dyak_TX_m_r4	thorax without digestive system	Drosophila yakuba
GSM2817309	dyak_WB_f_r4	whole body	Drosophila yakuba
GSM2817310	dyak_WB_m_r4	whole body	Drosophila yakuba
GSM2817311	orgR_AC_f_r4	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2817312	orgR_AC_m_r4	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2817313	orgR_DG_f_r4	digestive plus excretory system	Drosophila melanogaster
GSM2817314	orgR_DG_m_r4	digestive plus excretory system	Drosophila melanogaster
GSM2817315	orgR_GE_f_r4	genitalia	Drosophila melanogaster
GSM2817316	orgR_GE_m_r4	genitalia	Drosophila melanogaster
GSM2817317	orgR_GO_f_r4	gonad	Drosophila melanogaster
GSM2817318	orgR_GO_m_r4	gonad	Drosophila melanogaster
GSM2817319	orgR_HD_f_r4	head	Drosophila melanogaster
GSM2817320	orgR_HD_m_r4	head	Drosophila melanogaster
GSM2817321	orgR_RE_f_r4	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2817322	orgR_RE_m_r4	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2817323	orgR_TX_f_r4	thorax without digestive system	Drosophila melanogaster
GSM2817324	orgR_TX_m_r4	thorax without digestive system	Drosophila melanogaster
GSM2817325	orgR_WB_f_r4	whole body	Drosophila melanogaster
GSM2817326	orgR_WB_m_r4	whole body	Drosophila melanogaster
GSM2817327	w1118_AC_f_r4	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2817328	w1118_AC_m_r4	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2817329	w1118_DG_f_r4	digestive plus excretory system	Drosophila melanogaster
GSM2817330	w1118_DG_m_r4	digestive plus excretory system	Drosophila melanogaster
GSM2817331	w1118_GE_f_r4	genitalia	Drosophila melanogaster
GSM2817332	w1118_GE_m_r4	genitalia	Drosophila melanogaster
GSM2817333	w1118_GO_f_r4	gonad	Drosophila melanogaster
GSM2817334	w1118_GO_m_r4	gonad	Drosophila melanogaster
GSM2817335	w1118_HD_f_r4	head	Drosophila melanogaster
GSM2817336	w1118_HD_m_r4	head	Drosophila melanogaster
GSM2817337	w1118_RE_f_r4	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2817338	w1118_RE_m_r4	reproductive system without gonad and genitalia	Drosophila melanogaster
GSM2817339	w1118_TX_f_r4	thorax without digestive system	Drosophila melanogaster
GSM2817340	w1118_TX_m_r4	thorax without digestive system	Drosophila melanogaster
GSM2817341	w1118_WB_f_r4	whole body	Drosophila melanogaster
GSM2817342	w1118_WB_m_r4	whole body	Drosophila melanogaster
