gsm	title	source name	organism
GSM2647043	dmoj_WB_m_r3	whole body	Drosophila mojavensis 
GSM2647044	dper_AC_f_r1	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647045	dper_AC_f_r2	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647046	dper_AC_f_r3	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647047	dper_AC_m_r1	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647048	dper_AC_m_r2	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647049	dper_AC_m_r3	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647050	dper_DG_f_r1	digestive plus excretory system	Drosophila persimilis
GSM2647051	dper_DG_f_r2	digestive plus excretory system	Drosophila persimilis
GSM2647052	dper_DG_f_r3	digestive plus excretory system	Drosophila persimilis
GSM2647053	dper_DG_m_r1	digestive plus excretory system	Drosophila persimilis
GSM2647054	dper_DG_m_r2	digestive plus excretory system	Drosophila persimilis
GSM2647055	dper_DG_m_r3	digestive plus excretory system	Drosophila persimilis
GSM2647056	dper_GO_f_r1	gonad	Drosophila persimilis
GSM2647057	dper_GO_f_r2	gonad	Drosophila persimilis
GSM2647058	dper_GO_f_r3	gonad	Drosophila persimilis
GSM2647059	dper_GO_m_r1	gonad	Drosophila persimilis
GSM2647060	dper_GO_m_r2	gonad	Drosophila persimilis
GSM2647061	dper_GO_m_r3	gonad	Drosophila persimilis
GSM2647062	dper_HD_f_r1	head	Drosophila persimilis
GSM2647063	dper_HD_f_r2	head	Drosophila persimilis
GSM2647064	dper_HD_f_r3	head	Drosophila persimilis
GSM2647065	dper_HD_m_r1	head	Drosophila persimilis
GSM2647066	dper_HD_m_r2	head	Drosophila persimilis
GSM2647067	dper_HD_m_r3	head	Drosophila persimilis
GSM2647068	dper_RE_f_r1	reproductive system without gonad	Drosophila persimilis
GSM2647069	dper_RE_f_r2	reproductive system without gonad	Drosophila persimilis
GSM2647070	dper_RE_f_r3	reproductive system without gonad	Drosophila persimilis
GSM2647071	dper_RE_m_r1	reproductive system without gonad	Drosophila persimilis
GSM2647072	dper_RE_m_r2	reproductive system without gonad	Drosophila persimilis
GSM2647073	dper_RE_m_r3	reproductive system without gonad	Drosophila persimilis
GSM2647074	dper_TX_f_r1	thorax without digestive system	Drosophila persimilis
GSM2647075	dper_TX_f_r2	thorax without digestive system	Drosophila persimilis
GSM2647076	dper_TX_f_r3	thorax without digestive system	Drosophila persimilis
GSM2647077	dper_TX_m_r1	thorax without digestive system	Drosophila persimilis
GSM2647078	dper_TX_m_r2	thorax without digestive system	Drosophila persimilis
GSM2647079	dper_TX_m_r3	thorax without digestive system	Drosophila persimilis
GSM2647080	dper_WB_f_r1	whole body	Drosophila persimilis
GSM2647081	dper_WB_f_r2	whole body	Drosophila persimilis
GSM2647082	dper_WB_f_r3	whole body	Drosophila persimilis
GSM2647083	dper_WB_m_r1	whole body	Drosophila persimilis
GSM2647084	dper_WB_m_r2	whole body	Drosophila persimilis
GSM2647085	dper_WB_m_r3	whole body	Drosophila persimilis
GSM2647086	dpse_AC_f_r1	abdomen without digestive or reproductive system	Drosophila pseudoobscura
GSM2647087	dpse_AC_f_r2	abdomen without digestive or reproductive system	Drosophila pseudoobscura
GSM2647088	dpse_AC_f_r3	abdomen without digestive or reproductive system	Drosophila pseudoobscura
GSM2647089	dpse_AC_m_r1	abdomen without digestive or reproductive system	Drosophila pseudoobscura
GSM2647090	dpse_AC_m_r2	abdomen without digestive or reproductive system	Drosophila pseudoobscura
GSM2647091	dpse_AC_m_r3	abdomen without digestive or reproductive system	Drosophila pseudoobscura
GSM2647092	dpse_DG_f_r1	digestive plus excretory system	Drosophila pseudoobscura
GSM2647093	dpse_DG_f_r2	digestive plus excretory system	Drosophila pseudoobscura
GSM2647094	dpse_DG_f_r3	digestive plus excretory system	Drosophila pseudoobscura
GSM2647095	dpse_DG_m_r1	digestive plus excretory system	Drosophila pseudoobscura
GSM2647096	dpse_DG_m_r2	digestive plus excretory system	Drosophila pseudoobscura
GSM2647097	dpse_DG_m_r3	digestive plus excretory system	Drosophila pseudoobscura
GSM2647098	dpse_GO_f_r1	gonad	Drosophila pseudoobscura
GSM2647099	dpse_GO_f_r2	gonad	Drosophila pseudoobscura
GSM2647100	dpse_GO_f_r3	gonad	Drosophila pseudoobscura
GSM2647101	dpse_GO_m_r1	gonad	Drosophila pseudoobscura
GSM2647102	dpse_GO_m_r2	gonad	Drosophila pseudoobscura
GSM2647103	dpse_GO_m_r3	gonad	Drosophila pseudoobscura
GSM2647104	dpse_HD_f_r1	head	Drosophila pseudoobscura
GSM2647105	dpse_HD_f_r2	head	Drosophila pseudoobscura
GSM2647106	dpse_HD_f_r3	head	Drosophila pseudoobscura
GSM2647107	dpse_HD_m_r1	head	Drosophila pseudoobscura
GSM2647108	dpse_HD_m_r2	head	Drosophila pseudoobscura
GSM2647109	dpse_HD_m_r3	head	Drosophila pseudoobscura
GSM2647110	dpse_RE_f_r1	reproductive system without gonad	Drosophila pseudoobscura
GSM2647111	dpse_RE_f_r2	reproductive system without gonad	Drosophila pseudoobscura
GSM2647112	dpse_RE_f_r3	reproductive system without gonad	Drosophila pseudoobscura
GSM2647113	dpse_RE_m_r1	reproductive system without gonad	Drosophila pseudoobscura
GSM2647114	dpse_RE_m_r2	reproductive system without gonad	Drosophila pseudoobscura
GSM2647115	dpse_RE_m_r3	reproductive system without gonad	Drosophila pseudoobscura
GSM2647116	dpse_TX_f_r1	thorax without digestive system	Drosophila pseudoobscura
