samplename	GSM	BioSample	SRX	species	FBsp	dev_stage	tissue	sex	rep	plate	row	col
dvir_HD_f_r2	GSM2647147	SAMN07188537	SRX2877856	Drosophila virilis	FBsp00000251	adult	head	female	2	1	B	7
dvir_HD_f_r3	GSM2647148	SAMN07188536	SRX2877857	Drosophila virilis	FBsp00000251	adult	head	female	3	1	B	8
dvir_HD_m_r1	GSM2647149	SAMN07188535	SRX2877858	Drosophila virilis	FBsp00000251	adult	head	male	1	1	B	2
dvir_HD_m_r2	GSM2647150	SAMN07188534	SRX2877859	Drosophila virilis	FBsp00000251	adult	head	male	2	1	B	3
dvir_HD_m_r3	GSM2647151	SAMN07188533	SRX2877860	Drosophila virilis	FBsp00000251	adult	head	male	3	1	B	4
dvir_RE_f_r1	GSM2647152	SAMN07188532	SRX2877861	Drosophila virilis	FBsp00000251	adult	reproductive system without gonad	female	1	1	F	5
dvir_RE_f_r2	GSM2647153	SAMN07188631	SRX2877862	Drosophila virilis	FBsp00000251	adult	reproductive system without gonad	female	2	1	F	7
dvir_RE_f_r3	GSM2647154	SAMN07188630	SRX2877863	Drosophila virilis	FBsp00000251	adult	reproductive system without gonad	female	3	1	F	8
dvir_RE_m_r1	GSM2647155	SAMN07188629	SRX2877864	Drosophila virilis	FBsp00000251	adult	reproductive system without gonad	male	1	1	F	1
dvir_RE_m_r2	GSM2647156	SAMN07188628	SRX2877865	Drosophila virilis	FBsp00000251	adult	reproductive system without gonad	male	2	1	F	2
dvir_RE_m_r3	GSM2647157	SAMN07188627	SRX2877866	Drosophila virilis	FBsp00000251	adult	reproductive system without gonad	male	3	1	F	3
dvir_TX_f_r1	GSM2647158	SAMN07188626	SRX2877867	Drosophila virilis	FBsp00000251	adult	thorax without digestive system	female	1	1	C	6
dvir_TX_f_r2	GSM2647159	SAMN07188625	SRX2877868	Drosophila virilis	FBsp00000251	adult	thorax without digestive system	female	2	1	C	7
dvir_TX_f_r3	GSM2647160	SAMN07188624	SRX2877869	Drosophila virilis	FBsp00000251	adult	thorax without digestive system	female	3	1	C	8
dvir_TX_m_r1	GSM2647161	SAMN07188623	SRX2877870	Drosophila virilis	FBsp00000251	adult	thorax without digestive system	male	1	1	C	1
dvir_TX_m_r2	GSM2647162	SAMN07188622	SRX2877871	Drosophila virilis	FBsp00000251	adult	thorax without digestive system	male	2	1	C	3
dvir_TX_m_r3	GSM2647163	SAMN07188621	SRX2877872	Drosophila virilis	FBsp00000251	adult	thorax without digestive system	male	3	1	C	4
dvir_WB_f_r1	GSM2647164	SAMN07188620	SRX2877873	Drosophila virilis	FBsp00000251	adult	whole body	female	1	1	A	5
dvir_WB_f_r2	GSM2647165	SAMN07188619	SRX2877874	Drosophila virilis	FBsp00000251	adult	whole body	female	2	1	A	6
dvir_WB_f_r3	GSM2647166	SAMN07188618	SRX2877875	Drosophila virilis	FBsp00000251	adult	whole body	female	3	1	A	8
dvir_WB_m_r1	GSM2647167	SAMN07188617	SRX2877876	Drosophila virilis	FBsp00000251	adult	whole body	male	1	1	A	1
dvir_WB_m_r2	GSM2647168	SAMN07188616	SRX2877877	Drosophila virilis	FBsp00000251	adult	whole body	male	2	1	A	2
dvir_WB_m_r3	GSM2647169	SAMN07188615	SRX2877878	Drosophila virilis	FBsp00000251	adult	whole body	male	3	1	A	3
dwil_AC_f_r1	GSM2647170	SAMN07188614	SRX2877879	Drosophila willistoni	FBsp00000253	adult	abdomen without digestive or reproductive system	female	1	2	E	9
dwil_AC_f_r2	GSM2647171	SAMN07188613	SRX2877880	Drosophila willistoni	FBsp00000253	adult	abdomen without digestive or reproductive system	female	2	2	E	10
dwil_AC_f_r3	GSM2647172	SAMN07188612	SRX2877881	Drosophila willistoni	FBsp00000253	adult	abdomen without digestive or reproductive system	female	3	2	E	12
dwil_AC_m_r1	GSM2647173	SAMN07188611	SRX2877882	Drosophila willistoni	FBsp00000253	adult	abdomen without digestive or reproductive system	male	1	1	E	9
dwil_AC_m_r2	GSM2647174	SAMN07188610	SRX2877883	Drosophila willistoni	FBsp00000253	adult	abdomen without digestive or reproductive system	male	2	1	E	10
dwil_AC_m_r3	GSM2647175	SAMN07188609	SRX2877884	Drosophila willistoni	FBsp00000253	adult	abdomen without digestive or reproductive system	male	3	1	E	12
dwil_DG_f_r1	GSM2647176	SAMN07188608	SRX2877885	Drosophila willistoni	FBsp00000253	adult	digestive plus excretory system	female	1	2	H	9
dwil_DG_f_r2	GSM2647177	SAMN07188607	SRX2877886	Drosophila willistoni	FBsp00000253	adult	digestive plus excretory system	female	2	2	H	11
dwil_DG_f_r3	GSM2647178	SAMN07188606	SRX2877887	Drosophila willistoni	FBsp00000253	adult	digestive plus excretory system	female	3	2	H	12
dwil_DG_m_r1	GSM2647179	SAMN07188605	SRX2877888	Drosophila willistoni	FBsp00000253	adult	digestive plus excretory system	male	1	1	H	9
dwil_DG_m_r2	GSM2647180	SAMN07188604	SRX2877889	Drosophila willistoni	FBsp00000253	adult	digestive plus excretory system	male	2	1	H	11
dwil_DG_m_r3	GSM2647181	SAMN07188603	SRX2877890	Drosophila willistoni	FBsp00000253	adult	digestive plus excretory system	male	3	1	H	12
dwil_GO_f_r1	GSM2647182	SAMN07188602	SRX2877891	Drosophila willistoni	FBsp00000253	adult	gonad	female	1	2	F	9
dwil_GO_f_r2	GSM2647183	SAMN07188601	SRX2877892	Drosophila willistoni	FBsp00000253	adult	gonad	female	2	2	F	11
dwil_GO_f_r3	GSM2647184	SAMN07188600	SRX2877893	Drosophila willistoni	FBsp00000253	adult	gonad	female	3	2	F	12
dwil_GO_m_r1	GSM2647185	SAMN07188599	SRX2877894	Drosophila willistoni	FBsp00000253	adult	gonad	male	1	1	F	9
dwil_GO_m_r2	GSM2647186	SAMN07188598	SRX2877895	Drosophila willistoni	FBsp00000253	adult	gonad	male	2	1	F	10
dwil_GO_m_r3	GSM2647187	SAMN07188597	SRX2877896	Drosophila willistoni	FBsp00000253	adult	gonad	male	3	1	F	12
dwil_HD_f_r1	GSM2647188	SAMN07188596	SRX2877897	Drosophila willistoni	FBsp00000253	adult	head	female	1	2	B	9
dwil_HD_f_r2	GSM2647189	SAMN07188595	SRX2877898	Drosophila willistoni	FBsp00000253	adult	head	female	2	2	B	10
dwil_HD_f_r3	GSM2647190	SAMN07188594	SRX2877899	Drosophila willistoni	FBsp00000253	adult	head	female	3	2	B	12
dwil_HD_m_r1	GSM2647191	SAMN07188593	SRX2877900	Drosophila willistoni	FBsp00000253	adult	head	male	1	1	B	9
dwil_HD_m_r2	GSM2647192	SAMN07188592	SRX2877901	Drosophila willistoni	FBsp00000253	adult	head	male	2	1	B	10
dwil_HD_m_r3	GSM2647193	SAMN07188591	SRX2877902	Drosophila willistoni	FBsp00000253	adult	head	male	3	1	B	12
dwil_RE_f_r1	GSM2647194	SAMN07188590	SRX2877903	Drosophila willistoni	FBsp00000253	adult	reproductive system without gonad	female	1	2	G	9
dwil_RE_f_r2	GSM2647195	SAMN07188589	SRX2877904	Drosophila willistoni	FBsp00000253	adult	reproductive system without gonad	female	2	2	G	11
dwil_RE_f_r3	GSM2647196	SAMN07188588	SRX2877905	Drosophila willistoni	FBsp00000253	adult	reproductive system without gonad	female	3	2	G	12
dwil_RE_m_r1	GSM2647197	SAMN07188587	SRX2877906	Drosophila willistoni	FBsp00000253	adult	reproductive system without gonad	male	1	1	G	10
dwil_RE_m_r2	GSM2647198	SAMN07188586	SRX2877907	Drosophila willistoni	FBsp00000253	adult	reproductive system without gonad	male	2	1	G	11
dwil_RE_m_r3	GSM2647199	SAMN07188585	SRX2877908	Drosophila willistoni	FBsp00000253	adult	reproductive system without gonad	male	3	1	G	12
dwil_TX_f_r1	GSM2647200	SAMN07188674	SRX2877909	Drosophila willistoni	FBsp00000253	adult	thorax without digestive system	female	1	2	D	9
dwil_TX_f_r2	GSM2647201	SAMN07188673	SRX2877910	Drosophila willistoni	FBsp00000253	adult	thorax without digestive system	female	2	2	D	10
dwil_TX_f_r3	GSM2647202	SAMN07188672	SRX2877911	Drosophila willistoni	FBsp00000253	adult	thorax without digestive system	female	3	2	D	11
dwil_TX_m_r1	GSM2647203	SAMN07188671	SRX2877912	Drosophila willistoni	FBsp00000253	adult	thorax without digestive system	male	1	1	D	9
dwil_TX_m_r2	GSM2647204	SAMN07188670	SRX2877913	Drosophila willistoni	FBsp00000253	adult	thorax without digestive system	male	2	1	D	11
dwil_TX_m_r3	GSM2647205	SAMN07188669	SRX2877914	Drosophila willistoni	FBsp00000253	adult	thorax without digestive system	male	3	1	D	12
dwil_WB_f_r1	GSM2647206	SAMN07188668	SRX2877915	Drosophila willistoni	FBsp00000253	adult	whole body	female	1	2	A	9
dwil_WB_f_r2	GSM2647207	SAMN07188666	SRX2877916	Drosophila willistoni	FBsp00000253	adult	whole body	female	2	2	A	10
dwil_WB_f_r3	GSM2647208	SAMN07188665	SRX2877917	Drosophila willistoni	FBsp00000253	adult	whole body	female	3	2	A	12
dwil_WB_m_r1	GSM2647209	SAMN07188664	SRX2877918	Drosophila willistoni	FBsp00000253	adult	whole body	male	1	1	A	9
dwil_WB_m_r2	GSM2647210	SAMN07188663	SRX2877919	Drosophila willistoni	FBsp00000253	adult	whole body	male	2	1	A	10
dwil_WB_m_r3	GSM2647211	SAMN07188662	SRX2877920	Drosophila willistoni	FBsp00000253	adult	whole body	male	3	1	A	11
dyak_AC_f_r1	GSM2647212	SAMN07188661	SRX2877921	Drosophila yakuba	FBsp00000254	adult	abdomen without digestive or reproductive system	female	1	2	E	9
dyak_AC_f_r2	GSM2647213	SAMN07188667	SRX2877922	Drosophila yakuba	FBsp00000254	adult	abdomen without digestive or reproductive system	female	2	2	E	10
dyak_AC_f_r3	GSM2647214	SAMN07188660	SRX2877923	Drosophila yakuba	FBsp00000254	adult	abdomen without digestive or reproductive system	female	3	2	E	12
dyak_AC_m_r1	GSM2647215	SAMN07188659	SRX2877924	Drosophila yakuba	FBsp00000254	adult	abdomen without digestive or reproductive system	male	1	1	E	9
dyak_AC_m_r2	GSM2647216	SAMN07188658	SRX2877925	Drosophila yakuba	FBsp00000254	adult	abdomen without digestive or reproductive system	male	2	1	E	10
dyak_AC_m_r3	GSM2647217	SAMN07188657	SRX2877926	Drosophila yakuba	FBsp00000254	adult	abdomen without digestive or reproductive system	male	3	1	E	12
dyak_DG_f_r1	GSM2647218	SAMN07188656	SRX2877927	Drosophila yakuba	FBsp00000254	adult	digestive plus excretory system	female	1	2	H	9
dyak_DG_f_r2	GSM2647219	SAMN07188655	SRX2877928	Drosophila yakuba	FBsp00000254	adult	digestive plus excretory system	female	2	2	H	11
dyak_DG_f_r3	GSM2647220	SAMN07188654	SRX2877929	Drosophila yakuba	FBsp00000254	adult	digestive plus excretory system	female	3	2	H	12
dyak_DG_m_r1	GSM2647221	SAMN07188653	SRX2877930	Drosophila yakuba	FBsp00000254	adult	digestive plus excretory system	male	1	1	H	9
dyak_DG_m_r2	GSM2647222	SAMN07188652	SRX2877931	Drosophila yakuba	FBsp00000254	adult	digestive plus excretory system	male	2	1	H	11
dyak_DG_m_r3	GSM2647223	SAMN07188651	SRX2877932	Drosophila yakuba	FBsp00000254	adult	digestive plus excretory system	male	3	1	H	12
dyak_GO_f_r1	GSM2647224	SAMN07188650	SRX2877933	Drosophila yakuba	FBsp00000254	adult	gonad	female	1	2	F	9
dyak_GO_f_r2	GSM2647225	SAMN07188649	SRX2877934	Drosophila yakuba	FBsp00000254	adult	gonad	female	2	2	F	11
dyak_GO_f_r3	GSM2647226	SAMN07188648	SRX2877935	Drosophila yakuba	FBsp00000254	adult	gonad	female	3	2	F	12
dyak_GO_m_r1	GSM2647227	SAMN07188647	SRX2877936	Drosophila yakuba	FBsp00000254	adult	gonad	male	1	1	F	9
dyak_GO_m_r2	GSM2647228	SAMN07188646	SRX2877937	Drosophila yakuba	FBsp00000254	adult	gonad	male	2	1	F	10
dyak_GO_m_r3	GSM2647229	SAMN07188645	SRX2877938	Drosophila yakuba	FBsp00000254	adult	gonad	male	3	1	F	12
dyak_HD_f_r1	GSM2647230	SAMN07188644	SRX2877939	Drosophila yakuba	FBsp00000254	adult	head	female	1	2	B	9
dyak_HD_f_r2	GSM2647231	SAMN07188643	SRX2877940	Drosophila yakuba	FBsp00000254	adult	head	female	2	2	B	10
dyak_HD_f_r3	GSM2647232	SAMN07188642	SRX2877941	Drosophila yakuba	FBsp00000254	adult	head	female	3	2	B	12
dyak_HD_m_r1	GSM2647233	SAMN07188641	SRX2877942	Drosophila yakuba	FBsp00000254	adult	head	male	1	1	B	9
dyak_HD_m_r2	GSM2647234	SAMN07187988	SRX2877943	Drosophila yakuba	FBsp00000254	adult	head	male	2	1	B	10
dyak_HD_m_r3	GSM2647235	SAMN07187987	SRX2877944	Drosophila yakuba	FBsp00000254	adult	head	male	3	1	B	12
dyak_RE_f_r1	GSM2647236	SAMN07187986	SRX2877945	Drosophila yakuba	FBsp00000254	adult	reproductive system without gonad	female	1	2	G	9
dyak_RE_f_r2	GSM2647237	SAMN07187985	SRX2877946	Drosophila yakuba	FBsp00000254	adult	reproductive system without gonad	female	2	2	G	11
dyak_RE_f_r3	GSM2647238	SAMN07187984	SRX2877947	Drosophila yakuba	FBsp00000254	adult	reproductive system without gonad	female	3	2	G	12
dyak_RE_m_r1	GSM2647239	SAMN07187983	SRX2877948	Drosophila yakuba	FBsp00000254	adult	reproductive system without gonad	male	1	1	G	10
dyak_RE_m_r2	GSM2647240	SAMN07187982	SRX2877949	Drosophila yakuba	FBsp00000254	adult	reproductive system without gonad	male	2	1	G	11
dyak_RE_m_r3	GSM2647241	SAMN07187981	SRX2877950	Drosophila yakuba	FBsp00000254	adult	reproductive system without gonad	male	3	1	G	12
dyak_TX_f_r1	GSM2647242	SAMN07187980	SRX2877951	Drosophila yakuba	FBsp00000254	adult	thorax without digestive system	female	1	2	D	9
dyak_TX_f_r2	GSM2647243	SAMN07187979	SRX2877952	Drosophila yakuba	FBsp00000254	adult	thorax without digestive system	female	2	2	D	10
dyak_TX_f_r3	GSM2647244	SAMN07187978	SRX2877953	Drosophila yakuba	FBsp00000254	adult	thorax without digestive system	female	3	2	D	11
dyak_TX_m_r1	GSM2647245	SAMN07187977	SRX2877954	Drosophila yakuba	FBsp00000254	adult	thorax without digestive system	male	1	1	D	9
dyak_TX_m_r2	GSM2647246	SAMN07187976	SRX2877955	Drosophila yakuba	FBsp00000254	adult	thorax without digestive system	male	2	1	D	11
dyak_TX_m_r3	GSM2647247	SAMN07187975	SRX2877956	Drosophila yakuba	FBsp00000254	adult	thorax without digestive system	male	3	1	D	12
dyak_WB_f_r1	GSM2647248	SAMN07187974	SRX2877957	Drosophila yakuba	FBsp00000254	adult	whole body	female	1	2	A	9
dyak_WB_f_r2	GSM2647249	SAMN07187973	SRX2877958	Drosophila yakuba	FBsp00000254	adult	whole body	female	2	2	A	10
dyak_WB_f_r3	GSM2647250	SAMN07187972	SRX2877959	Drosophila yakuba	FBsp00000254	adult	whole body	female	3	2	A	12
dyak_WB_m_r1	GSM2647251	SAMN07187971	SRX2877960	Drosophila yakuba	FBsp00000254	adult	whole body	male	1	1	A	9
dyak_WB_m_r2	GSM2647252	SAMN07187970	SRX2877961	Drosophila yakuba	FBsp00000254	adult	whole body	male	2	1	A	10
dyak_WB_m_r3	GSM2647253	SAMN07187969	SRX2877962	Drosophila yakuba	FBsp00000254	adult	whole body	male	3	1	A	11
orgR_AC_f_r1	GSM2647254	SAMN07187968	SRX2877963	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	female	1	2	D	5
orgR_AC_f_r2	GSM2647255	SAMN07187967	SRX2877964	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	female	2	2	D	7
orgR_AC_f_r3	GSM2647256	SAMN07188041	SRX2877965	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	female	3	2	D	8
orgR_AC_m_r1	GSM2647257	SAMN07188040	SRX2877966	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	male	1	2	D	1
orgR_AC_m_r2	GSM2647258	SAMN07188039	SRX2877967	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	male	2	2	D	3
orgR_AC_m_r3	GSM2647259	SAMN07188038	SRX2877968	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	male	3	2	D	4
orgR_DG_f_r1	GSM2647260	SAMN07188037	SRX2877969	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	female	1	2	H	5
orgR_DG_f_r2	GSM2647261	SAMN07188036	SRX2877970	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	female	2	2	H	6
orgR_DG_f_r3	GSM2647262	SAMN07188035	SRX2877971	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	female	3	2	H	8
orgR_DG_m_r1	GSM2647263	SAMN07188034	SRX2877972	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	male	1	2	H	2
orgR_DG_m_r2	GSM2647264	SAMN07188167	SRX2877973	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	male	2	2	H	3
orgR_DG_m_r3	GSM2647265	SAMN07188166	SRX2877974	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	male	3	2	H	4
orgR_GE_f_r1	GSM2647266	SAMN07188165	SRX2877975	Drosophila melanogaster	FBsp00000001	adult	genitalia	female	1	2	G	6
orgR_GE_f_r2	GSM2647267	SAMN07188164	SRX2877976	Drosophila melanogaster	FBsp00000001	adult	genitalia	female	2	2	G	7
orgR_GE_f_r3	GSM2647268	SAMN07188163	SRX2877977	Drosophila melanogaster	FBsp00000001	adult	genitalia	female	3	2	G	8
orgR_GE_m_r1	GSM2647269	SAMN07188162	SRX2877978	Drosophila melanogaster	FBsp00000001	adult	genitalia	male	1	2	G	2
orgR_GE_m_r2	GSM2647270	SAMN07188161	SRX2877979	Drosophila melanogaster	FBsp00000001	adult	genitalia	male	2	2	G	3
orgR_GE_m_r3	GSM2647271	SAMN07188160	SRX2877980	Drosophila melanogaster	FBsp00000001	adult	genitalia	male	3	2	G	4
orgR_GO_f_r1	GSM2647272	SAMN07188159	SRX2877981	Drosophila melanogaster	FBsp00000001	adult	gonad	female	1	2	E	5
orgR_GO_f_r2	GSM2647273	SAMN07188158	SRX2877982	Drosophila melanogaster	FBsp00000001	adult	gonad	female	2	2	E	6
orgR_GO_f_r3	GSM2647274	SAMN07188235	SRX2877983	Drosophila melanogaster	FBsp00000001	adult	gonad	female	3	2	E	8
orgR_GO_m_r1	GSM2647275	SAMN07188234	SRX2877984	Drosophila melanogaster	FBsp00000001	adult	gonad	male	1	2	E	2
orgR_GO_m_r2	GSM2647276	SAMN07188233	SRX2877985	Drosophila melanogaster	FBsp00000001	adult	gonad	male	2	2	E	3
orgR_GO_m_r3	GSM2647277	SAMN07188232	SRX2877986	Drosophila melanogaster	FBsp00000001	adult	gonad	male	3	2	E	4
orgR_HD_f_r1	GSM2647278	SAMN07188231	SRX2877987	Drosophila melanogaster	FBsp00000001	adult	head	female	1	2	B	5
orgR_HD_f_r2	GSM2647279	SAMN07188230	SRX2877988	Drosophila melanogaster	FBsp00000001	adult	head	female	2	2	B	6
orgR_HD_f_r3	GSM2647280	SAMN07188229	SRX2877989	Drosophila melanogaster	FBsp00000001	adult	head	female	3	2	B	7
orgR_HD_m_r1	GSM2647281	SAMN07188228	SRX2877990	Drosophila melanogaster	FBsp00000001	adult	head	male	1	2	B	1
orgR_HD_m_r2	GSM2647282	SAMN07188227	SRX2877991	Drosophila melanogaster	FBsp00000001	adult	head	male	2	2	B	3
orgR_HD_m_r3	GSM2647283	SAMN07188226	SRX2877992	Drosophila melanogaster	FBsp00000001	adult	head	male	3	2	B	4
orgR_RE_f_r1	GSM2647284	SAMN07188225	SRX2877993	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	female	1	2	F	5
orgR_RE_f_r2	GSM2647285	SAMN07188224	SRX2877994	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	female	2	2	F	6
orgR_RE_f_r3	GSM2647286	SAMN07188223	SRX2877995	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	female	3	2	F	8
orgR_RE_m_r1	GSM2647287	SAMN07188222	SRX2877996	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	male	1	2	F	1
orgR_RE_m_r2	GSM2647288	SAMN07188221	SRX2877997	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	male	2	2	F	3
orgR_RE_m_r3	GSM2647289	SAMN07188220	SRX2877998	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	male	3	2	F	4
orgR_TX_f_r1	GSM2647290	SAMN07188219	SRX2877999	Drosophila melanogaster	FBsp00000001	adult	thorax without digestive system	female	1	2	C	5
orgR_TX_f_r2	GSM2647291	SAMN07188218	SRX2878000	Drosophila melanogaster	FBsp00000001	adult	thorax without digestive system	female	2	2	C	7
orgR_TX_f_r3	GSM2647292	SAMN07188217	SRX2878001	Drosophila melanogaster	FBsp00000001	adult	thorax without digestive system	female	3	2	C	8
orgR_TX_m_r1	GSM2647293	SAMN07188216	SRX2878002	Drosophila melanogaster	FBsp00000001	adult	thorax without digestive system	male	1	2	C	2
orgR_TX_m_r2	GSM2647294	SAMN07188383	SRX2878003	Drosophila melanogaster	FBsp00000001	adult	thorax without digestive system	male	2	2	C	3
orgR_TX_m_r3	GSM2647295	SAMN07188382	SRX2878004	Drosophila melanogaster	FBsp00000001	adult	thorax without digestive system	male	3	2	C	4
orgR_WB_f_r1	GSM2647296	SAMN07188381	SRX2878005	Drosophila melanogaster	FBsp00000001	adult	whole body	female	1	2	A	5
orgR_WB_f_r2	GSM2647297	SAMN07188380	SRX2878006	Drosophila melanogaster	FBsp00000001	adult	whole body	female	2	2	A	7
orgR_WB_f_r3	GSM2647298	SAMN07188379	SRX2878007	Drosophila melanogaster	FBsp00000001	adult	whole body	female	3	2	A	8
orgR_WB_m_r1	GSM2647299	SAMN07188378	SRX2878008	Drosophila melanogaster	FBsp00000001	adult	whole body	male	1	2	A	1
orgR_WB_m_r2	GSM2647300	SAMN07188377	SRX2878009	Drosophila melanogaster	FBsp00000001	adult	whole body	male	2	2	A	2
orgR_WB_m_r3	GSM2647301	SAMN07188376	SRX2878010	Drosophila melanogaster	FBsp00000001	adult	whole body	male	3	2	A	4
w1118_AC_f_r1	GSM2647302	SAMN07188375	SRX2878011	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	female	1	1	D	5
w1118_AC_f_r2	GSM2647303	SAMN07188374	SRX2878012	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	female	2	1	D	6
w1118_AC_f_r3	GSM2647304	SAMN07188373	SRX2878013	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	female	3	1	D	7
w1118_AC_m_r1	GSM2647305	SAMN07188372	SRX2878014	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	male	1	1	D	1
w1118_AC_m_r2	GSM2647306	SAMN07188371	SRX2878015	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	male	2	1	D	3
w1118_AC_m_r3	GSM2647307	SAMN07188370	SRX2878016	Drosophila melanogaster	FBsp00000001	adult	abdomen without digestive or reproductive system	male	3	1	D	4
w1118_DG_f_r1	GSM2647308	SAMN07188446	SRX2878017	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	female	1	1	H	6
w1118_DG_f_r2	GSM2647309	SAMN07188445	SRX2878018	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	female	2	1	H	7
w1118_DG_f_r3	GSM2647310	SAMN07188444	SRX2878019	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	female	3	1	H	8
w1118_DG_m_r1	GSM2647311	SAMN07188443	SRX2878020	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	male	1	1	H	1
w1118_DG_m_r2	GSM2647312	SAMN07188442	SRX2878021	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	male	2	1	H	2
w1118_DG_m_r3	GSM2647313	SAMN07188441	SRX2878022	Drosophila melanogaster	FBsp00000001	adult	digestive plus excretory system	male	3	1	H	3
w1118_GE_f_r1	GSM2647314	SAMN07188440	SRX2878023	Drosophila melanogaster	FBsp00000001	adult	genitalia	female	1	1	G	5
w1118_GE_f_r2	GSM2647315	SAMN07188439	SRX2878024	Drosophila melanogaster	FBsp00000001	adult	genitalia	female	2	1	G	6
w1118_GE_f_r3	GSM2647316	SAMN07188438	SRX2878025	Drosophila melanogaster	FBsp00000001	adult	genitalia	female	3	1	G	8
w1118_GE_m_r1	GSM2647317	SAMN07188437	SRX2878026	Drosophila melanogaster	FBsp00000001	adult	genitalia	male	1	1	G	1
w1118_GE_m_r2	GSM2647318	SAMN07188436	SRX2878027	Drosophila melanogaster	FBsp00000001	adult	genitalia	male	2	1	G	2
w1118_GE_m_r3	GSM2647319	SAMN07188435	SRX2878028	Drosophila melanogaster	FBsp00000001	adult	genitalia	male	3	1	G	3
w1118_GO_f_r1	GSM2647320	SAMN07188434	SRX2878029	Drosophila melanogaster	FBsp00000001	adult	gonad	female	1	1	E	5
w1118_GO_f_r2	GSM2647321	SAMN07188433	SRX2878030	Drosophila melanogaster	FBsp00000001	adult	gonad	female	2	1	E	7
w1118_GO_f_r3	GSM2647322	SAMN07188432	SRX2878031	Drosophila melanogaster	FBsp00000001	adult	gonad	female	3	1	E	8
w1118_GO_m_r1	GSM2647323	SAMN07188431	SRX2878032	Drosophila melanogaster	FBsp00000001	adult	gonad	male	1	1	E	2
w1118_GO_m_r2	GSM2647324	SAMN07188335	SRX2878033	Drosophila melanogaster	FBsp00000001	adult	gonad	male	2	1	E	3
w1118_GO_m_r3	GSM2647325	SAMN07188334	SRX2878034	Drosophila melanogaster	FBsp00000001	adult	gonad	male	3	1	E	4
w1118_HD_f_r1	GSM2647326	SAMN07188333	SRX2878035	Drosophila melanogaster	FBsp00000001	adult	head	female	1	1	B	5
w1118_HD_f_r2	GSM2647327	SAMN07188332	SRX2878036	Drosophila melanogaster	FBsp00000001	adult	head	female	2	1	B	7
w1118_HD_f_r3	GSM2647328	SAMN07188409	SRX2878037	Drosophila melanogaster	FBsp00000001	adult	head	female	3	1	B	8
w1118_HD_m_r1	GSM2647329	SAMN07188408	SRX2878038	Drosophila melanogaster	FBsp00000001	adult	head	male	1	1	B	2
w1118_HD_m_r2	GSM2647330	SAMN07188403	SRX2878039	Drosophila melanogaster	FBsp00000001	adult	head	male	2	1	B	3
w1118_HD_m_r3	GSM2647331	SAMN07188402	SRX2878040	Drosophila melanogaster	FBsp00000001	adult	head	male	3	1	B	4
w1118_RE_f_r1	GSM2647332	SAMN07188401	SRX2878041	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	female	1	1	F	5
w1118_RE_f_r2	GSM2647333	SAMN07188407	SRX2878042	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	female	2	1	F	7
w1118_RE_f_r3	GSM2647334	SAMN07188406	SRX2878043	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	female	3	1	F	8
w1118_RE_m_r1	GSM2647335	SAMN07188405	SRX2878044	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	male	1	1	F	1
w1118_RE_m_r2	GSM2647336	SAMN07188404	SRX2878045	Drosophila melanogaster	FBsp00000001	adult	reproductive system without gonad and genitalia	male	2	1	F	2
